lr,tree,depth,subsample,colsample,auc_train,auc_test
0.025628953026648145,413,4,0.7204094517363295,0.9350779302610801,0.9065510762404511,0.8437449850973828
0.04689131639978366,887,5,0.8125892823705091,0.9362910599141396,0.9835303374460505,0.8706314001149804
0.060896264220382565,522,5,0.8399874386584094,0.7637623333600907,0.9787764394488958,0.8662014097802344
0.07361392695832142,790,4,0.6676482814771342,0.8688956614572587,0.9818973054168362,0.8727162712108539
0.04347625324956316,181,3,0.9206579407908824,0.7458469532988894,0.8422438660265614,0.8244278472037398
0.06771489012557631,965,4,0.9852200142033475,0.817641963822558,0.9864420423290485,0.8677115281632078
0.030345970132378275,312,3,0.949193460765477,0.6504484841466927,0.8523865126928633,0.8268071881074112
0.03158473956427774,239,5,0.5118636900029121,0.6776711612543701,0.907700049064275,0.8389404006629331
0.061715450113466526,963,3,0.8377580138507978,0.9388854461270177,0.9757197649290649,0.8648738414566538
0.022034779082220617,220,4,0.502612215037104,0.5895117355945145,0.8377189364477668,0.8198218167710571
0.050091781597462734,819,3,0.841600690318359,0.7604196987200299,0.9629193652388608,0.8599480007469339
0.03245492615338349,183,5,0.7038278064546101,0.6942667014767352,0.8857619496500511,0.833493025186265
0.04984264238953338,704,3,0.9068041760276477,0.7085279987272068,0.9572960569535398,0.8599589483283503
0.04892436117622038,992,4,0.9299747215534199,0.7324906193542637,0.9802641598184594,0.8690865786685505
0.04522076705552823,313,4,0.522280230533344,0.73252229814278,0.9290667984929042,0.8483375560032327
0.08192767189574736,861,5,0.6196431789047319,0.7216343740623345,0.988513081662124,0.8752033238717375
0.07548656171716508,555,5,0.9217412787347199,0.9843904229244286,0.9843831529581524,0.8704727440836909
0.011524411981241484,900,4,0.8233941312235274,0.7418257647935623,0.9039564752303253,0.8397731360569918
0.09953700507305938,450,3,0.8469915527594639,0.6175896117122437,0.9661140905427759,0.8600423836109655
0.06588940825634965,475,3,0.898365572719614,0.9913971205278554,0.9541487045117393,0.8562158284854476
0.05247184728058316,807,3,0.7385984698343364,0.8309602453625067,0.9627846811749274,0.860972775665376
0.0807820623243473,172,5,0.5738553933840265,0.7747339505652711,0.9488657973355126,0.8530204906562021
0.0390042966815405,809,5,0.7969988287200402,0.981306280082823,0.9781325875477312,0.8663824969933992
0.04540042950713693,319,5,0.6591442405294669,0.8605476559475793,0.9512109405193359,0.8532116205052221
0.05621082291043685,586,4,0.614040599896251,0.7924791704154648,0.9697484491313036,0.862188896119886
0.07561446065951627,787,5,0.796548497874645,0.5054094401605884,0.9871565133270623,0.8742841114730404
0.039104551859355206,954,3,0.9697958043927475,0.8920358353383262,0.9606480726829155,0.8582306998578212
0.02300269190160121,506,3,0.9376861538579994,0.7835034630580142,0.8744262500829307,0.8377344550796045
0.017357942470685443,443,3,0.9681075132601362,0.8800513892062066,0.8342151081295641,0.8234726255173104
0.03180710151256857,344,3,0.9609234933790425,0.5273381089917055,0.8673877598034366,0.8340306097376292
0.06101402350769359,257,5,0.9041712787030658,0.9846638441688946,0.9576728033385058,0.8538123713967473
