Team,Seed,Wins,Losses,Win Percentage,PD,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PF,Age,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Playoff,QF,SF,F,C
Milwaukee Bucks,1,60,22,0.732,8.8,0.476,0.353,0.773,49.7,26,7.5,5.9,13.3,19.6,26.9,103.3,0.255,0.419,0.583,0.55,12,20.8,0.197,1,1,1,0,0
Toronto Raptors,2,58,24,0.707,6,0.474,0.366,0.804,45.2,25.4,8.3,5.3,13.3,21,27.3,100.2,0.247,0.379,0.579,0.543,12.4,21.9,0.198,1,1,1,1,1
Golden State Warriors,1,57,25,0.695,6.5,0.491,0.385,0.801,46.2,29.4,7.6,6.4,13.8,21.4,28.4,100.9,0.227,0.384,0.596,0.565,12.6,22.5,0.182,1,1,1,1,0
Denver Nuggets,2,54,28,0.659,4,0.466,0.351,0.755,46.4,27.4,7.7,4.4,12.9,20,24.9,97.7,0.232,0.348,0.558,0.527,11.9,26.6,0.175,1,1,0,0,0
Houston Rockets,4,53,29,0.646,4.8,0.449,0.356,0.791,42.1,21.2,8.5,4.9,12.7,22,29.2,97.9,0.279,0.519,0.581,0.542,12,22.8,0.221,1,1,0,0,0
Portland Trail Blazers,3,53,29,0.646,4.2,0.467,0.359,0.814,48.0,23,6.7,5,13.3,20.4,26.2,99.1,0.258,0.339,0.568,0.528,12.1,26.6,0.21,1,1,1,0,0
Philadelphia 76ers,3,51,31,0.622,2.7,0.471,0.359,0.771,47.8,26.9,7.4,5.3,14.5,21.3,26.4,101.6,0.312,0.342,0.574,0.532,12.9,24.5,0.241,1,1,0,0,0
Utah Jazz,5,50,32,0.61,5.2,0.468,0.356,0.736,46.4,26,8.1,5.9,14.8,21.1,27.3,100.3,0.295,0.394,0.572,0.538,13.4,22.9,0.217,1,0,0,0,0
Boston Celtics,4,49,33,0.598,4.4,0.465,0.365,0.802,44.5,26.3,8.6,5.3,12.4,20.4,25.7,99.6,0.215,0.381,0.567,0.534,11.5,21.6,0.173,1,1,0,0,0
Oklahoma City Thunder,6,49,33,0.598,3.4,0.454,0.348,0.713,48.1,23.4,9.3,5.2,13.6,22.4,25.7,102.8,0.266,0.347,0.545,0.514,11.7,26,0.19,1,0,0,0,0
Indiana Pacers,5,48,34,0.585,3.3,0.475,0.374,0.752,43.0,26,8.7,4.9,13.3,19.4,27,98.1,0.242,0.292,0.561,0.53,12.4,21.9,0.182,1,0,0,0,0
San Antonio Spurs,7,48,34,0.585,1.7,0.478,0.392,0.819,44.7,24.5,6.1,4.7,11.8,18.1,28.8,98.3,0.237,0.286,0.572,0.534,11,21,0.194,1,0,0,0,0
LA Clippers,8,48,34,0.585,0.8,0.471,0.388,0.792,45.5,24,6.8,4.7,13.8,23.3,27.2,101.7,0.326,0.295,0.575,0.529,12.7,22,0.258,1,0,0,0,0
Orlando Magic,7,42,40,0.512,0.7,0.454,0.356,0.782,45.4,25.5,6.6,5.4,12.6,18.6,25.7,98.1,0.216,0.36,0.55,0.518,11.9,22,0.168,1,0,0,0,0
Brooklyn Nets,6,42,40,0.512,-0.1,0.449,0.353,0.745,46.6,23.8,6.6,4.1,14.4,21.5,25.4,100.8,0.284,0.403,0.556,0.52,13,23.8,0.211,1,0,0,0,0
Detroit Pistons,8,41,41,0.5,-0.3,0.440,0.348,0.747,45.0,22.5,6.9,4,13,22.1,26.9,97.4,0.262,0.394,0.544,0.509,12.3,24.8,0.195,1,0,0,0,0
Sacramento Kings,9,39,43,0.476,-1.1,0.464,0.378,0.726,45.4,25.4,8.3,4.4,12.9,21.4,27,98.2,0.247,0.368,0.542,0.515,13.1,24.8,0.172,0,0,0,0,0
Charlotte Hornets,9,39,43,0.476,-1.1,0.448,0.351,0.797,43.8,23.2,7.2,4.9,11.7,18.9,24.8,103.1,0.244,0.321,0.554,0.524,11.5,23.1,0.177,0,0,0,0,0
Miami Heat,10,39,43,0.476,-0.2,0.450,0.349,0.695,46.3,24.3,7.6,5.5,14.1,20.9,26.6,98.7,0.257,0.378,0.554,0.514,10.9,21.7,0.205,0,0,0,0,0
Los Angeles Lakers,10,37,45,0.451,-1.7,0.470,0.333,0.699,46.6,25.6,7.5,5.4,15.2,20.7,26.2,103.2,0.257,0.342,0.554,0.527,13.4,22.2,0.18,0,0,0,0,0
Minnesota Timberwolves,11,36,46,0.439,-1.5,0.456,0.351,0.787,44.8,24.6,8.3,5,12.6,20.3,26.2,100.2,0.267,0.315,0.552,0.511,11.4,24.6,0.21,0,0,0,0,0
Memphis Grizzlies,12,33,49,0.402,-2.6,0.450,0.342,0.772,41.8,23.9,8.3,5.5,13.2,22,25.7,103.3,0.254,0.324,0.563,0.529,12.6,24.1,0.193,0,0,0,0,0
New Orleans Pelicans,13,33,49,0.402,-1.4,0.473,0.344,0.761,47.3,27,7.4,5.4,14.5,21.1,26.9,99,0.291,0.422,0.555,0.519,12.7,22.7,0.216,0,0,0,0,0
Dallas Mavericks,14,33,49,0.402,-1.2,0.447,0.340,0.742,45.3,23.4,6.5,4.3,13.6,20.1,27.7,96.6,0.272,0.342,0.548,0.508,12.9,20,0.21,0,0,0,0,0
Washington Wizards,11,32,50,0.39,-2.9,0.468,0.341,0.768,42.4,26.3,8.3,4.6,13.7,20.7,26.5,101.4,0.266,0.37,0.567,0.531,12.3,21.3,0.204,0,0,0,0,0
Atlanta Hawks,12,29,53,0.354,-6.1,0.451,0.352,0.752,46.1,25.8,8.2,5.1,16.6,23.6,25.1,103.9,0.255,0.403,0.555,0.522,14.3,24.7,0.192,0,0,0,0,0
Chicago Bulls,13,22,60,0.268,-8.5,0.453,0.351,0.783,42.9,21.9,7.4,4.3,13.5,20.3,24,99,0.235,0.295,0.541,0.505,12.7,19.4,0.184,0,0,0,0,0
Cleveland Cavaliers,14,19,63,0.232,-9.6,0.444,0.355,0.792,42.7,20.7,6.5,2.4,12.6,20,24,100.5,0.259,0.335,0.552,0.514,13.8,20.5,0.202,0,0,0,0,0
Phoenix Suns,15,19,63,0.232,-9.3,0.459,0.329,0.779,40.4,23.9,9,5.1,15.2,23.6,25.2,96.6,0.236,0.332,0.54,0.503,12.2,23.7,0.187,0,0,0,0,0
New York Knicks,15,17,65,0.207,-9.2,0.433,0.340,0.759,44.7,20.1,6.8,5.1,13.4,20.9,23.4,99.6,0.27,0.334,0.529,0.49,12.4,22.1,0.205,0,0,0,0,0
