Team,Seed,Wins,Losses,Win Percentage,PD,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PF,Age,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Playoff,QF,SF,F,C
Milwaukee Bucks,1,56,17,0.767,10.08,0.476,0.355,0.742,51.7,25.9,7.2,5.9,15.1,19.6,29.2,105.1,0.271,0.428,0.583,0.552,12.9,20.7,0.201,1,1,0,0,0
Toronto Raptors,2,53,19,0.736,6.24,0.458,0.374,0.796,45.4,25.2,8.8,5,14.8,21.7,26.6,100.9,0.264,0.421,0.574,0.536,13.1,21.3,0.21,1,1,0,0,0
Los Angeles Lakers,1,52,19,0.732,5.79,0.48,0.349,0.729,45.7,25.4,8.6,6.6,15.2,20.7,29.5,100.9,0.276,0.358,0.573,0.542,13.3,24.5,0.201,1,1,1,1,1
Los Angeles Clippers,2,49,23,0.681,6.44,0.466,0.371,0.791,47.7,23.7,7.1,4.7,14.6,22.1,27.4,101.5,0.295,0.375,0.577,0.535,12.6,23.5,0.233,1,1,0,0,0
Boston Celtics,3,48,24,0.667,6.31,0.461,0.364,0.801,46.1,23,8.3,5.6,13.8,21.6,25.3,99.5,0.259,0.386,0.57,0.531,12.2,23.9,0.207,1,1,1,0,0
Denver Nuggets,3,46,27,0.630,2.11,0.473,0.359,0.777,44.1,26.7,8,4.6,13.8,20.3,25.6,97.1,0.235,0.344,0.567,0.535,12.3,24.8,0.183,1,1,1,0,0
Indiana Pacers,4,45,28,0.616,1.96,0.476,0.363,0.787,42.8,25.9,7.4,5.2,13.2,19.8,25.6,98.9,0.216,0.317,0.565,0.534,12,20,0.17,1,0,0,0,0
Miami Heat,5,44,29,0.603,2.95,0.468,0.379,0.783,44.4,25.9,7.5,4.5,14.9,20.6,25.9,98.3,0.299,0.419,0.587,0.547,13.5,20.3,0.234,1,1,1,1,0
Houston Rockets,4,44,28,0.611,2.96,0.451,0.345,0.791,44.3,21.6,8.7,5.2,14.7,21.8,29.2,103.7,0.288,0.501,0.578,0.537,12.6,21,0.228,1,1,0,0,0
Utah Jazz,6,44,28,0.611,2.47,0.471,0.38,0.779,44.9,22.4,6.1,4.1,15.1,20.4,27.3,98.6,0.268,0.414,0.585,0.549,13.7,21.6,0.208,1,0,0,0,0
Oklahoma City Thunder,5,44,28,0.611,1.99,0.468,0.355,0.796,42.9,21.7,7.6,4.9,13.7,19.3,25.5,98.8,0.29,0.353,0.573,0.53,12.4,19.3,0.231,1,0,0,0,0
Dallas Mavericks,7,43,32,0.573,4.95,0.461,0.367,0.779,46.9,24.7,6.1,4.8,12.7,19.5,26.1,99.3,0.264,0.457,0.581,0.545,11.2,23.2,0.206,1,0,0,0,0
Philadelphia 76ers,6,43,30,0.589,2.38,0.468,0.368,0.755,45.4,25.8,8,5.3,14.2,20.9,26.3,99,0.255,0.36,0.566,0.534,12.7,23.9,0.193,1,0,0,0,0
Brooklyn Nets,7,35,37,0.486,-0.57,0.448,0.343,0.745,47.9,24.5,6.4,4.5,15.3,21,26.3,101.4,0.267,0.423,0.554,0.52,13.1,23.2,0.199,1,0,0,0,0
Portland Trail Blazers,8,35,39,0.473,-1.15,0.463,0.377,0.804,45.3,20.6,6.3,6.1,12.8,21.7,27.5,100.7,0.242,0.374,0.57,0.533,11.2,22.4,0.194,1,0,0,0,0
Phoenix Suns,9,34,39,0.466,0.22,0.468,0.358,0.834,43.5,27.2,7.7,4,14.8,22,24.6,101.3,0.271,0.361,0.576,0.532,13,22.2,0.226,0,0,0,0,0
Memphis Grizzlies,10,34,39,0.466,-1.07,0.468,0.347,0.763,46.5,26.9,7.9,5.5,15.2,21.2,24.1,102.8,0.24,0.346,0.561,0.528,13.2,23,0.183,0,0,0,0,0
Orlando Magic,8,33,40,0.452,-1.01,0.444,0.343,0.774,44.5,23.9,8.2,5.4,12.8,18.3,26.1,98.6,0.256,0.364,0.544,0.506,11.5,22.3,0.198,1,0,0,0,0
San Antonio Spurs,11,32,39,0.451,-1.11,0.472,0.376,0.81,44.6,24.7,7.3,5.5,12.6,19.4,27.6,100.5,0.262,0.318,0.572,0.531,11.2,20.1,0.212,0,0,0,0,0
Sacramento Kings,12,31,41,0.431,-2.04,0.462,0.364,0.77,42.6,23.8,7.7,4.1,14.5,22.2,27,98.9,0.23,0.395,0.566,0.534,13,21.9,0.177,0,0,0,0,0
New Orleans Pelicans,13,30,42,0.417,-1.29,0.465,0.37,0.729,46.5,26.8,7.5,5,16.4,21.2,25.4,103.7,0.256,0.403,0.568,0.539,13.9,24.2,0.186,0,0,0,0,0
Washington Wizards,9,25,47,0.347,-4.67,0.457,0.368,0.788,42,25,8,4.3,14.2,22.7,25.1,102.7,0.27,0.358,0.562,0.523,12.2,22.2,0.213,0,0,0,0,0
Charlotte Hornets,10,23,42,0.354,-6.75,0.434,0.352,0.748,42.8,23.8,6.6,4.1,14.6,18.8,24.3,95.8,0.252,0.399,0.539,0.504,13.3,23.9,0.188,0,0,0,0,0
Chicago Bulls,11,22,43,0.338,-3.08,0.447,0.348,0.755,41.9,23.2,10,4.1,15.5,21.8,24.4,99.7,0.231,0.396,0.547,0.515,13.7,22.8,0.175,0,0,0,0,0
New York Knicks,12,21,45,0.318,-6.45,0.447,0.337,0.694,46.5,22.1,7.6,4.7,14.3,22.2,24.5,98.6,0.263,0.318,0.531,0.501,12.6,25.8,0.182,0,0,0,0,0
Detroit Pistons,13,20,46,0.303,-3.56,0.459,0.367,0.743,41.7,24.1,7.4,4.5,15.3,19.7,25.9,97.6,0.261,0.381,0.561,0.529,13.8,22.6,0.194,0,0,0,0,0
Atlanta Hawks,14,20,47,0.299,-7.97,0.449,0.333,0.79,43.3,24,7.8,5.1,16.2,23.1,24.1,103,0.258,0.398,0.554,0.515,13.8,21.6,0.204,0,0,0,0,0
Minnesota Timberwolves,14,19,45,0.297,-4.3,0.441,0.336,0.753,44.8,23.8,8.7,5.7,15.3,21.4,24.8,103.4,0.277,0.433,0.551,0.514,13,22.1,0.209,0,0,0,0,0
Cleveland Cavaliers,15,19,46,0.292,-7.89,0.458,0.351,0.758,44.2,23.1,6.9,3.2,16.5,18.3,25,98.7,0.227,0.362,0.553,0.522,14.6,24.6,0.172,0,0,0,0,0
Golden State Warriors,15,15,50,0.231,-8.71,0.438,0.334,0.803,42.8,25.6,8.2,4.6,14.9,20.1,24.4,100.3,0.264,0.355,0.54,0.497,13.2,21.5,0.212,0,0,0,0,0
