Team,Seed,Wins,Losses,Win Percentage,PS,PA,PD,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PF,Year,Playoff,QF,SF,F,C
Milwaukee Bucks,1,60,22,0.732,118.1,109.3,8.8,0.476,0.353,0.773,49.7,26,7.5,5.9,13.3,19.6,18,1,1,1,0,0
Toronto Raptors,2,58,24,0.707,114.4,108.4,6,0.474,0.366,0.804,45.2,25.4,8.3,5.3,13.3,21,18,1,1,1,1,1
Golden State Warriors,1,57,25,0.695,117.7,111.2,6.5,0.491,0.385,0.801,46.2,29.4,7.6,6.4,13.8,21.4,18,1,1,1,1,0
Denver Nuggets,2,54,28,0.659,110.7,106.7,4,0.466,0.351,0.755,46.4,27.4,7.7,4.4,12.9,20,18,1,1,0,0,0
Houston Rockets,4,53,29,0.646,113.9,109.1,4.8,0.449,0.356,0.791,42.1,21.2,8.5,4.9,12.7,22,18,1,1,0,0,0
Portland Trail Blazers,3,53,29,0.646,114.7,110.5,4.2,0.467,0.359,0.814,48.0,23,6.7,5,13.3,20.4,18,1,1,1,0,0
Philadelphia 76ers,3,51,31,0.622,115.2,112.5,2.7,0.471,0.359,0.771,47.8,26.9,7.4,5.3,14.5,21.3,18,1,1,0,0,0
Utah Jazz,5,50,32,0.61,111.7,106.5,5.2,0.468,0.356,0.736,46.4,26,8.1,5.9,14.8,21.1,18,1,0,0,0,0
Boston Celtics,4,49,33,0.598,112.4,108,4.4,0.465,0.365,0.802,44.5,26.3,8.6,5.3,12.4,20.4,18,1,1,0,0,0
Oklahoma City Thunder,6,49,33,0.598,114.5,111.1,3.4,0.454,0.348,0.713,48.1,23.4,9.3,5.2,13.6,22.4,18,1,0,0,0,0
Indiana Pacers,5,48,34,0.585,108,104.7,3.3,0.475,0.374,0.752,43.0,26,8.7,4.9,13.3,19.4,18,1,0,0,0,0
San Antonio Spurs,7,48,34,0.585,111.7,110,1.7,0.478,0.392,0.819,44.7,24.5,6.1,4.7,11.8,18.1,18,1,0,0,0,0
LA Clippers,8,48,34,0.585,115.1,114.3,0.8,0.471,0.388,0.792,45.5,24,6.8,4.7,13.8,23.3,18,1,0,0,0,0
Orlando Magic,7,42,40,0.512,107.3,106.6,0.7,0.454,0.356,0.782,45.4,25.5,6.6,5.4,12.6,18.6,18,1,0,0,0,0
Brooklyn Nets,6,42,40,0.512,112.2,112.3,-0.1,0.449,0.353,0.745,46.6,23.8,6.6,4.1,14.4,21.5,18,1,0,0,0,0
Detroit Pistons,8,41,41,0.5,107,107.3,-0.3,0.440,0.348,0.747,45.0,22.5,6.9,4,13,22.1,18,1,0,0,0,0
Sacramento Kings,9,39,43,0.476,114.2,115.3,-1.1,0.464,0.378,0.726,45.4,25.4,8.3,4.4,12.9,21.4,18,0,0,0,0,0
Charlotte Hornets,9,39,43,0.476,110.7,111.8,-1.1,0.448,0.351,0.797,43.8,23.2,7.2,4.9,11.7,18.9,18,0,0,0,0,0
Miami Heat,10,39,43,0.476,105.7,105.9,-0.2,0.450,0.349,0.695,46.3,24.3,7.6,5.5,14.1,20.9,18,0,0,0,0,0
Los Angeles Lakers,10,37,45,0.451,111.8,113.5,-1.7,0.470,0.333,0.699,46.6,25.6,7.5,5.4,15.2,20.7,18,0,0,0,0,0
Minnesota Timberwolves,11,36,46,0.439,112.5,114,-1.5,0.456,0.351,0.787,44.8,24.6,8.3,5,12.6,20.3,18,0,0,0,0,0
Memphis Grizzlies,12,33,49,0.402,103.5,106.1,-2.6,0.450,0.342,0.772,41.8,23.9,8.3,5.5,13.2,22,18,0,0,0,0,0
New Orleans Pelicans,13,33,49,0.402,115.4,116.8,-1.4,0.473,0.344,0.761,47.3,27,7.4,5.4,14.5,21.1,18,0,0,0,0,0
Dallas Mavericks,14,33,49,0.402,108.9,110.1,-1.2,0.447,0.340,0.742,45.3,23.4,6.5,4.3,13.6,20.1,18,0,0,0,0,0
Washington Wizards,11,32,50,0.39,114,116.9,-2.9,0.468,0.341,0.768,42.4,26.3,8.3,4.6,13.7,20.7,18,0,0,0,0,0
Atlanta Hawks,12,29,53,0.354,113.3,119.4,-6.1,0.451,0.352,0.752,46.1,25.8,8.2,5.1,16.6,23.6,18,0,0,0,0,0
Chicago Bulls,13,22,60,0.268,104.9,113.4,-8.5,0.453,0.351,0.783,42.9,21.9,7.4,4.3,13.5,20.3,18,0,0,0,0,0
Cleveland Cavaliers,14,19,63,0.232,104.5,114.1,-9.6,0.444,0.355,0.792,42.7,20.7,6.5,2.4,12.6,20,18,0,0,0,0,0
Phoenix Suns,15,19,63,0.232,107.5,116.8,-9.3,0.459,0.329,0.779,40.4,23.9,9,5.1,15.2,23.6,18,0,0,0,0,0
New York Knicks,15,17,65,0.207,104.6,113.8,-9.2,0.433,0.340,0.759,44.7,20.1,6.8,5.1,13.4,20.9,18,0,0,0,0,0
